Description Words,Count,Description Bigrams,Count,Description Trigrams,Count,Objective Words,Count,Objective Bigrams,Count,Objective Trigrams,Count,Tag Words,Count,Tag Bigrams,Count,Tag Trigrams,Count,Everything Words,Count,Everything Bigrams,Count,Everything Trigrams,Count
media,121,"('session', 'provide')",13,"('access', 'quality', 'education')",3,ideas,77,"('teachers', 'students')",11,"('attendees', 'understand', 'personalized')",3,game,18,"('music', 'education')",8,"('publicity', 'tourism', 'travel')",3,-,213,"('panel', 'discuss')",26,"('Participants', 'able', 'describe')",6
future,119,"('panel', 'discussion')",13,"('program', 'such', 'programs')",3,role,76,"('Common', 'Core')",11,"('learn', 'successes', 'struggles')",3,virtual,18,"('learning', 'personalized')",8,"('classroom', 'higher', 'education')",3,ideas,210,"('game-based', 'learning')",26,"('ways', 'engage', 'students')",5
access,119,"('public', 'school')",13,"('budgets', 'tools', 'create')",3,``,76,"('learn', 'strategies')",11,"('students', 'Attendees', 'learn')",3,gamification,17,"('classroom', 'strategies')",8,"('special', 'education', 'services')",3,program,209,"('technology', 'classroom')",26,"('stem', 'hands-on', '21st')",5
learners,118,"('teachers', 'parents')",13,"('others', 'summit_s', 'culminating')",3,innovation,76,"('improve', 'student')",11,"('programs', 'implement', 'roll')",3,game-based,17,"('digital', 'content')",7,"('learning', 'learning', 'environments')",3,understanding,208,"('adaptive', 'learning')",26,"('assess', 'student', 'learning')",5
innovative,117,"('technology', 'classroom')",13,"('such', 'iPad', '11')",3,better,75,"('Participants', 'identify')",11,"('educational', 'equity', 'opportunities')",3,strategy,17,"('learning', 'teacher')",7,"('relations', 'publicity', 'tourism')",3,process,206,"('teaching', '&')",26,"('companies', 'teach/lead', 'colleagues')",5
both,117,"('century', 'skills')",13,"('rolling', 'programs', 'utilize')",3,effective,74,"('learning', 'attention')",10,"('practices', 'school', 'district')",3,reality,17,"('technology', 'classroom')",7,"('digital', 'learning', 'student')",3,used,203,"('learning', 'outcomes')",26,"('session', 'participants', 'learn')",5
build,117,"('School', 'District')",13,"('learn', 'others', 'summit_s')",3,engage,74,"('learning', 'process')",10,"('virtually', 'experts', 'discussing')",3,open,16,"('flipped', 'classroom')",7,"('technology', 'innovation', 'video')",3,programs,202,"('digital', 'tools')",25,"('those', 'innovative', 'practices')",5
used,116,"('early', 'childhood')",13,"('learning', 'experience', 'rolling')",3,participants,74,"('creative', 'learning')",10,"('such', 'iPad', '11')",3,culture,16,"('design', 'design')",7,"('public', 'relations', 'publicity')",3,needs,201,"('middle', 'school')",25,"('common', 'core', 'standards')",5
many,115,"('every', 'child')",12,"('stop', 'motion', 'animation')",3,build,73,"('digital', 'tools')",10,"('attending', 'mentor', 'sessions')",3,instruction,16,"('education', 'edtech')",7,"('training', 'professional', 'development')",3,experiences,199,"('&', 'learning')",25,"('share', 'compare', 'learn')",5
impact,114,"('During', 'session')",12,"('session', 'learn', 'hand')",3,needs,72,"('deeper', 'understanding')",10,"('utilizing', 'technology', 'create')",3,future,16,"('learning', 'blended')",7,"('english', 'language', 'learner')",3,innovative,196,"('early', 'learning')",25,"('Participants', 'design', 'ready-to-use')",5
engage,114,"('where', 'students')",12,"('students', 'world', 'today')",3,higher,72,"('school', 'districts')",10,"('high', 'impact', 'practices')",3,entrepreneurial,16,"('creative', 'learning')",7,"('marketing', 'communications', 'public')",3,access,194,"('Participants', 'gain')",25,"('best', 'practices', 'creating')",5
classrooms,112,"('college', 'students')",12,"('becomes', 'more', 'ingrained')",3,engagement,71,"('meet', 'needs')",10,"('game', 'based', 'learning')",3,develompent,16,"('education', 'student')",7,"('equality', 'achievement', 'gap')",3,across,193,"('real', 'world')",25,"('innovation', 'design', 'thinking')",5
